name.length,age
23,18.45859001
21,18.74058864
24,18.20396988
23,17.2238193
20,18.69678303
20,19.22792608
25,18.83093771
29,32.34223135
23,29.79876797
30,28.6844627
24,23.80287474
21,23.71526352
27,23.83025325
27,23.52361396
18,23.72073922
24,23.85215606
28,23.01163587
18,23.44695414
25,23.18412047
20,24.16974675
27,23.25530459
16,22.75975359
20,23.07460643
29,22.62286105
18,22.68309377
28,22.72689938
20,22.74880219
21,22.77891855
20,22.88569473
21,23.00342231
26,22.75427789
20,22.88569473
23,22.64476386
19,22.90212183
23,22.45859001
17,22.7871321
21,22.74880219
28,22.4257358
22,23.27994524
27,22.75701574
33,22.84462697
19,22.43394935
28,22.33538672
28,22.53524983
26,22.70773443
25,22.57084189
29,21.8973306
29,21.32238193
19,21.36344969
27,21.51403149
22,22.05886379
28,22.03148528
23,21.33059548
20,21.52498289
17,21.9137577
21,22.23408624
25,22.13552361
16,21.9137577
23,22.16563997
21,21.28952772
18,21.38809035
23,21.76591376
27,21.23750856
21,21.30595483
27,21.74401095
27,21.24024641
33,21.45653662
19,20.25462012
22,21.045859
22,20.34770705
21,20.26830938
21,20.80766598
23,21.10609172
21,20.74743326
29,21.13073238
19,21.10882957
20,20.58863792
27,20.99383984
20,20.11772758
20,20.78850103
22,20.56125941
29,20.71457906
29,20.75838467
28,20.45995893
22,20.89801506
26,20.64065708
17,21.11704312
24,20.41341547
31,20.63518138
26,20.83778234
14,20.95550992
23,21.15537303
33,21.0513347
25,20.73374401
27,20.83230664
25,19.80287474
20,20.20260096
21,21.15811088
24,20.78302533
27,20.54483231
21,21.08145106
21,22.83093771
22,20.63791923
26,20.19164956
25,20.63791923
27,20.98836413
29,20.29295003
21,20.59411362
24,20.37508556
22,20.19712526
27,20.57494867
19,20.27652293
25,21.01574264
22,18.95140315
24,19.85489391
18,19.4880219
27,19.79739904
19,20.183436
28,19.96167009
20,19.69883641
27,19.52908966
23,20.15058179
19,20.05475702
20,19.70978782
25,19.87132101
20,20.09034908
24,19.55373032
24,19.8275154
27,19.58658453
24,20.0164271
22,19.74264203
21,19.9945243
20,19.36755647
22,19.34017796
24,19.75633128
18,19.28268309
25,18.64202601
27,18.91307324
19,18.33264887
27,18.38193018
19,17.88911704
26,18.46680356
17,18.03696099
19,18.18206708
25,18.65571526
21,19.36755647
22,18.78986995
25,18.04791239
26,18.33812457
24,17.99589322
18,18.2587269
21,18.69952088
32,18.16016427
22,18.84188912
25,18.91854894
14,18.55167693
26,18.84188912
17,18.29158111
28,18.47775496
30,20.32580424
22,18.7926078
26,18.28062971
22,18.03969884
25,18.56262834
28,18.31622177
17,18.55989049
24,18.90759754
27,18.00136893
22,18.11088296
23,18.091718
28,18.57357974
21,19.74811773
16,17.88364134
27,18.80903491
26,18.25598905
24,18.71321013
23,18.21492129
42,27.77275838
27,25.2183436
25,25.74948665
20,25.31690623
23,32.88980151
19,28.55304586
22,27.76180698
27,24.71457906
22,25.09787817
28,24.12867899
22,23.23340178
20,23.86036961
28,23.90143737
21,23.21971253
30,24.07939767
23,23.56741958
30,23.74811773
22,23.79739904
23,23.49623546
27,23.63039014
24,21.3963039
28,21.88637919
21,21.54962355
23,21.38809035
25,21.41546886
19,22.15195072
31,21.38261465
27,21.48117728
22,21.52498289
22,21.53045859
21,21.97125257
24,22.37097878
21,21.49486653
18,21.20465435
27,23.2881588
28,22.95140315
18,22.38740589
20,22.27241615
24,22.67761807
19,22.52429843
23,22.5927447
20,22.54346338
26,22.22587269
26,22.4366872
18,23.20328542
27,23.11293634
22,22.53798768
27,23.68514716
29,22.86105407
18,22.51334702
24,22.62286105
21,22.77891855
32,21.86721424
27,22.32443532
21,22.70225873
18,23.00068446
27,23.03080082
28,22.7980835
20,22.51060917
35,21.908282
27,22.82272416
29,21.92744695
19,39.90143737
25,37.12525667
26,33.85626283
27,26.37919233
26,26.31895962
19,38.06160164
25,33.41546886
21,30.84736482
29,29.09240246
24,28.92265572
25,29.54140999
27,27.55373032
24,27.46064339
