age,name_length,sex,nationality,major
18.25,24,Female,Mexico,NEG
19.49,18,Male,Mexico,NEG
19.07,22,Male,Mexico,NEG
19.53,25,Male,Mexico,NEG
21.11,12,Male,Europe,IPU
17.90,16,Female,Mexico,NEG
19.15,23,Male,Mexico,NEG
18.42,18,Male,Mexico,NEG
18.98,22,Male,Mexico,NEG
16.77,19,Female,Mexico,NEG
19.11,25,Male,Mexico,NEG
19.64,18,Male,Mexico,NEG
17.98,25,Male,Mexico,NEG
17.89,17,Female,Mexico,NEG
18.75,24,Male,Mexico,NEG
18.06,19,Female,Mexico,NEG
17.07,28,Male,Mexico,NEG
18.47,21,Male,Mexico,NEG
18.26,23,Female,Mexico,NEG
19.32,34,Female,Mexico,NEG
17.78,28,Female,Mexico,NEG
18.22,21,Female,Mexico,NEG
18.03,20,Male,Mexico,NEG
18.21,25,Male,Mexico,NEG
18.14,21,Female,Mexico,NEG
17.71,34,Male,Mexico,NEG
18.05,26,Female,Mexico,NEG
18.57,27,Male,South America,NEG
19.13,19,Male,Mexico,NEG
19.19,18,Female,Mexico,NEG
18.85,20,Female,Mexico,NEG
18.48,19,Female,Mexico,NEG
18.84,23,Female,Mexico,NEG
18.69,25,Female,Mexico,NEG
24.71,24,Female,South America,IPU
18.16,28,Male,Mexico,NEG
19.97,20,Male,Mexico,NEG
20.22,22,Male,Mexico,NEG
18.05,15,Female,Mexico,NEG
18.28,16,Female,Mexico,NEG
18.92,17,Male,Mexico,NEG
18.05,26,Male,Mexico,NEG
18.65,19,Female,Mexico,NEG
18.32,25,Male,Mexico,NEG
18.97,13,Female,Mexico,NEG
18.97,21,Female,Mexico,NEG
19.44,26,Male,Mexico,NEG
18.08,25,Male,Mexico,NEG
18.88,23,Male,Mexico,NEG
18.85,24,Female,Mexico,NEG
18.41,16,Female,Mexico,NEG
19.76,20,Female,Mexico,NEG
18.88,21,Male,Mexico,NEG
18.95,20,Male,Mexico,NEG
18.61,17,Female,Mexico,NEG
19.65,23,Male,Mexico,NEG
18.92,22,Male,Mexico,NEG
18.67,17,Male,Mexico,NEG
19.23,30,Male,Mexico,NEG
19.26,17,Male,Mexico,NEG
18.93,21,Male,Mexico,NEG
19.16,19,Male,Mexico,NEG
19.03,19,Male,Mexico,NEG
19.52,22,Male,Mexico,NEG
18.78,25,Female,Mexico,NEG
18.87,23,Male,Mexico,IBQ
19.63,29,Male,Mexico,IBQ
18.67,27,Male,Mexico,NEG
19.98,15,Male,Mexico,NEG
19.06,20,Male,Mexico,NEG
19.41,26,Male,South America,NEG
17.73,23,Male,Mexico,NEG
18.78,20,Female,Mexico,NEG
19.43,21,Female,Mexico,NEG
18.95,22,Female,Mexico,NEG
18.44,25,Female,Mexico,NEG
19.78,29,Male,Mexico,NEG
18.16,29,Female,Mexico,NEG
18.20,25,Male,Mexico,NEG
18.57,25,Female,Mexico,NEG
18.51,20,Female,Mexico,NEG
18.60,15,Female,Mexico,NEG
18.95,18,Female,Mexico,NEG
18.14,23,Female,Mexico,NEG
18.55,28,Female,Mexico,NEG
18.28,21,Female,Mexico,NEG
18.90,25,Male,Mexico,NEG
18.75,21,Female,Mexico,NEG
18.44,22,Female,Mexico,NEG
18.50,22,Male,Mexico,NEG
18.92,19,Male,Mexico,NEG
19.60,24,Male,Mexico,NEG
18.61,21,Female,Mexico,NEG
18.24,21,Female,Mexico,NEG
18.81,20,Female,Mexico,NEG
18.99,28,Female,Mexico,NEG
18.80,30,Female,Mexico,NEG
19.28,28,Male,Mexico,NEG
18.34,21,Female,Mexico,NEG
18.00,25,Female,Mexico,NEG
18.52,21,Female,Mexico,NEG
18.62,27,Male,Mexico,NEG
19.20,22,Male,Mexico,NEG
17.92,26,Male,Mexico,NEG
19.59,29,Female,Mexico,NEG
17.62,22,Female,South America,NEG
19.99,31,Female,Mexico,NEG
18.83,25,Male,Mexico,NEG
18.35,28,Female,Mexico,NEG
18.05,22,Female,Mexico,NEG
18.35,25,Female,Mexico,NEG
19.20,22,Female,Mexico,NEG
19.34,14,Female,Mexico,NEG
18.95,20,Male,Mexico,NEG
18.47,19,Male,Mexico,NEG
18.41,25,Female,Mexico,NEG
18.36,35,Male,Mexico,NEG
18.51,30,Female,Mexico,NEG
19.61,23,Male,Mexico,NEG
18.43,21,Female,Mexico,NEG
18.67,24,Female,Mexico,NEG
17.91,15,Male,Mexico,NEG
18.38,22,Female,Mexico,NEG
19.03,20,Male,Mexico,NEG
19.44,15,Female,Mexico,NEG
19.43,16,Male,Mexico,NEG
19.33,27,Male,Mexico,NEG
19.64,24,Male,Mexico,NEG
19.35,22,Male,Mexico,NEG
18.28,16,Female,Mexico,NEG
18.87,25,Male,Mexico,NEG
18.39,26,Male,Mexico,NEG
17.80,21,Male,South America,NEG
18.17,23,Male,Mexico,NEG
19.30,22,Male,Mexico,NEG
17.94,20,Female,Mexico,NEG
19.27,26,Male,Mexico,NEG
18.89,21,Female,Mexico,NEG
18.06,30,Male,North America,NEG
19.07,24,Female,Mexico,NEG
17.85,25,Male,Mexico,NEG
20.57,27,Male,North America,NEG
18.51,18,Male,Mexico,NEG
18.51,22,Female,Mexico,NEG
19.26,24,Female,Mexico,NEG
19.05,28,Female,Mexico,NEG
18.39,27,Female,Mexico,NEG
19.82,29,Male,Mexico,NEG
18.63,29,Female,Mexico,NEG
18.71,18,Female,Mexico,NEG
