age,name_length,sex,nationality,major
20.49829,27,Male,Mexico,IIT
20.13963,27,Male,Mexico,LAF
20.99932,23,Male,Mexico,LAE
20.4627,27,Female,Mexico,ARQ
21.10883,28,Female,Mexico,LAE
19.48255,25,Male,Mexico,IMT
20.95551,22,Female,Mexico,LNB
21.48665,22,Female,Mexico,ARQ
21.08966,28,Female,Mexico,LDI
19.87953,25,Male,Mexico,MC
19.62491,24,Male,Mexico,ITC
19.54004,19,Female,Mexico,LAE
19.54004,23,Male,Mexico,LAF
19.76728,27,Male,Mexico,IIT
20.07118,27,Male,Mexico,LIN
20.16153,27,Male,Mexico,IIS
19.88227,29,Male,North America,IC
19.95893,21,Male,Mexico,IIS
20.39425,29,Male,Mexico,IIS
19.36208,27,Female,Mexico,LIN
19.59206,21,Male,Mexico,ITC
19.29363,27,Female,Mexico,NEG
20.01643,21,Male,Mexico,LAF
19.82204,25,Female,Mexico,ARQ
19.6961,28,Male,Mexico,LIN
19.93977,22,Male,Mexico,NEG
18.50513,24,Female,Mexico,NEG
18.13826,20,Male,Mexico,IIT
18.67762,33,Male,Mexico,ICT
18.56263,29,Male,Mexico,NEG
18.46133,21,Female,Mexico,IBQ
18.72142,17,Female,Mexico,IBQ
18.43943,21,Male,Mexico,IIT
18.93224,25,Male,Mexico,IIT
18.49966,25,Female,Mexico,NEG
18.48597,26,Female,Mexico,NEG
19.09651,25,Female,Mexico,AMC
18.66667,25,Male,Mexico,IIT
18.66667,21,Female,Mexico,AMC
18.65572,30,Male,Mexico,IIT
18.57358,30,Male,Mexico,NEG
18.58453,23,Male,Mexico,IIT
18.90486,25,Male,Mexico,NEG
18.9295,17,Male,Mexico,IIT
18.97604,17,Female,Mexico,NEG
18.83641,20,Male,Mexico,IIT
18.7269,30,Male,Mexico,NEG
18.28884,25,Male,Mexico,IIT
19.47707,26,Male,Mexico,NEG
54.98973,28,Male,Mexico,ARQ
23.56468,23,Female,Mexico,LEM
22.67214,27,Male,Mexico,IBT
22.89391,34,Female,Mexico,LED
23.04175,27,Female,Mexico,LAE
22.80356,30,Female,Mexico,IBT
23.28816,28,Female,Mexico,LPS
21.21013,24,Female,Mexico,CPF
22.11362,27,Male,Mexico,LAE
21.74675,20,Male,Mexico,IIS
22.05613,32,Female,Mexico,LAE
22.44216,21,Male,Mexico,LAE
22.2204,32,Female,Mexico,LDI
21.95756,22,Male,Mexico,IDS
22.40931,25,Female,Mexico,LEC
22.31348,21,Male,Mexico,ARQ
22.19302,27,Female,Mexico,IIT
21.96851,22,Female,Mexico,IMT
22.34908,22,Female,Mexico,LC
21.81246,27,Male,Mexico,IBT
22.08624,26,Male,Mexico,IMT
21.84531,30,Male,Mexico,LIT
22.00137,24,Female,Mexico,LAE
22.25325,23,Male,Mexico,IC
21.62628,22,Male,Mexico,LRI
21.5989,25,Male,Mexico,ITC
22.01506,26,Male,Mexico,CPF
21.54141,20,Male,Mexico,LAF
20.90075,28,Male,Mexico,IQ
21.1718,30,Male,Mexico,LAF
20.59138,21,Female,Mexico,CPF
20.64066,30,Female,Mexico,LAF
20.14784,23,Male,Mexico,IIS
20.72553,29,Male,Mexico,IRS
20.29569,19,Male,Mexico,BIE
20.44079,21,Male,Mexico,CPF
20.91444,28,Female,Mexico,LDI
21.62628,23,Male,Mexico,LIT
21.0486,25,Male,Mexico,MC
20.30664,28,Male,Mexico,LAD
20.59685,29,Male,Mexico,IM
20.25462,26,Female,Mexico,BIE
20.51745,20,Female,Mexico,MC
20.95825,23,Female,Mexico,LDI
20.41889,35,Male,Mexico,LAF
21.10062,25,Male,Mexico,LAE
21.17728,28,Male,Mexico,IRS
20.8104,17,Female,Mexico,ARQ
21.10062,29,Female,Mexico,IC
20.55031,19,Female,Mexico,LPS
21.05133,24,Female,Mexico,LDE
20.53936,29,Male,Mexico,IRS
20.29843,25,Male,Mexico,LAE
20.74743,21,Female,Mexico,LEM
20.82136,27,Female,Mexico,LEM
20.57495,31,Male,Mexico,LED
20.81862,19,Male,Mexico,IBT
21.16632,27,Male,Mexico,IC
20.2601,30,Female,Mexico,LC
20.36961,25,Male,Mexico,IM
20.35044,26,Male,Mexico,IC
20.75565,27,Female,Mexico,IIT
20.83231,31,Female,Mexico,LAE
21.06776,29,Male,Mexico,IM
20.51472,29,Male,Mexico,IIS
20.97194,27,Male,Mexico,IC
20.47365,25,Female,Mexico,LAE
19.22245,23,Female,Mexico,ARQ
20.14784,24,Female,Mexico,BIE
19.61123,29,Female,Mexico,IBQ
19.63039,22,Male,Mexico,IBT
19.60301,24,Male,Mexico,CPF
19.88775,28,Male,Mexico,NEG
19.69884,18,Male,Mexico,NEG
19.27721,29,Male,Mexico,IC
20.15058,27,Female,Mexico,CPF
19.18686,28,Female,Mexico,IBT
19.14853,25,Female,Mexico,LAF
19.12389,29,Male,Mexico,LDI
19.9781,27,Female,Mexico,MC
20.00821,36,Male,Mexico,IE
19.53183,25,Male,Mexico,BFI
19.154,30,Male,Mexico,LED
20.61875,21,Male,Mexico,IID
19.56742,17,Female,Mexico,MC
19.7399,23,Female,Mexico,BIE
19.84668,24,Female,Mexico,IIS
20.32307,25,Female,Mexico,ARQ
20.19713,22,Female,Mexico,IIS
20.22724,33,Female,Mexico,CIS
19.40315,27,Male,Mexico,MC
19.63587,27,Male,Mexico,LC
19.17317,29,Male,Mexico,IBQ
19.12663,17,Male,Mexico,LDI
30.03149,48,Female,Mexico,IBT
25.49213,25,Female,Mexico,LAF
23.75359,24,Male,Mexico,IM
24.12594,35,Female,Mexico,ARQ
24.96099,24,Female,Mexico,LDI
39.38398,28,Female,Mexico,LNB
34.14921,25,Male,Mexico,INT
31.35113,32,Male,Mexico,IM
25.4319,17,Female,Mexico,LTM
25.56331,23,Female,Mexico,LDE
23.67693,20,Female,Mexico,MO
24.2026,28,Female,Mexico,LC
23.94251,28,Male,Mexico,LAE
22.58179,30,Female,Mexico,LEM
23.09651,28,Male,Mexico,INA
23.02806,31,Male,Mexico,IMT
22.49692,26,Male,Mexico,LAE
25.93566,18,Female,Mexico,IAL
25.96578,22,Female,Mexico,ICI
26.20671,24,Male,Mexico,LEM
25.82888,31,Male,Mexico,LUB
26.07529,27,Female,Mexico,ARQ
26.18754,31,Male,Mexico,LIN
25.22108,28,Male,Mexico,IDM
25.27858,28,Female,Mexico,ITC
25.92745,31,Male,Mexico,IIS
24.83504,23,Female,Mexico,LED
23.91239,22,Female,Mexico,ARQ
23.38946,19,Male,Mexico,LTM
24.33128,24,Female,Mexico,IMT
24.33402,23,Male,Mexico,LED
23.58658,33,Male,Mexico,ARQ
22.48323,25,Male,Mexico,ITC
22.65024,18,Male,Mexico,LAF
23.26078,19,Male,Mexico,IC
22.61465,18,Male,Mexico,IMT
22.55715,31,Male,Mexico,LAF
23.65777,22,Male,Mexico,LAE
23.12115,17,Male,Mexico,LAE
22.31075,24,Male,Mexico,LAF
23.43874,24,Male,Mexico,LIT
24.22177,24,Female,Mexico,LAD
23.10746,30,Female,Mexico,LED
22.96509,20,Male,Mexico,LDE
22.81725,22,Female,Mexico,LEM
22.39562,31,Male,Mexico,LAF
23.25257,25,Male,Mexico,ITC
23.16769,25,Female,Mexico,LEM
22.68036,21,Male,Mexico,LEC
23.19507,24,Male,Mexico,ARQ
23.31554,28,Male,Mexico,IQ
22.5462,18,Female,Mexico,LEM
22.70226,19,Male,Mexico,LAE
23.40862,24,Female,Mexico,LDI
23.12663,34,Male,Mexico,BGB
22.45311,29,Male,Mexico,ITC
22.32444,27,Male,Mexico,LDI
23.54825,23,Male,Mexico,LAE
23.54278,20,Male,Mexico,LAF
22.03422,21,Female,Mexico,IIS
